GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,AF2AE001,AF2AE002,AF2AE003,AF2AE004,AF2AE005,AF2AE006,AF2AE007,AF2AE008,AF2AE009,AF2AE010,AF2AE011,AF2AE012,AF2AE013,AF2AE014,AF2AE015,AF2AE016,AF2AE017,AF2AE018,AF2AE019,AF2AE020,AF2AE021,AF2AE022,AF2AE023,AF2AE024,AF2AE025,AF2AE026,AF2AE027,AF2AE028,AF2AE029,AF2AE030,AF2AE031,AF2AE032,AF2AE033,AF2AE034,AF2AE035,AF2AE036,AF2AE037,AF2AE038,AF2AE039,AF2AE040,AF2AE041,AF2AE042,AF2AE043,AF2AE044,AF2AE045,AF2AE046,AF2AE047,AF2AE048,AF2AE049
G08000100078011,2012-2016,Colorado,8,Adams County,1,7801,"Block Group 1, Census Tract 78.01, Adams County, Colorado",1894,840,63,64,42,71,32,0,51,7,103,65,39,74,66,57,19,0,29,9,9,32,8,0,0,1054,148,85,106,103,44,0,11,71,21,54,60,53,95,62,40,0,28,18,7,25,23,0,0
G08000100078012,2012-2016,Colorado,8,Adams County,1,7801,"Block Group 2, Census Tract 78.01, Adams County, Colorado",2480,1278,120,102,50,15,17,24,24,13,218,133,215,58,90,68,54,0,28,12,37,0,0,0,0,1202,132,70,166,67,75,41,21,48,42,92,60,38,164,50,28,21,12,9,25,9,32,0,0
G08000100078021,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 1, Census Tract 78.02, Adams County, Colorado",1601,758,109,107,31,26,54,35,40,16,16,58,14,82,63,15,30,0,16,0,17,16,0,13,0,843,41,63,87,35,18,86,13,20,73,54,63,65,56,25,34,0,26,34,12,13,13,6,6
G08000100078022,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 2, Census Tract 78.02, Adams County, Colorado",1239,631,16,88,66,16,0,19,0,29,57,11,107,83,37,60,24,0,12,0,0,0,6,0,0,608,55,73,72,46,29,9,23,20,28,45,41,66,32,14,10,20,12,0,0,6,0,7,0
G08000100078023,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 3, Census Tract 78.02, Adams County, Colorado",1656,757,57,19,62,77,24,10,0,33,118,75,41,88,78,28,40,0,0,0,0,0,7,0,0,899,59,95,137,30,70,0,24,27,138,46,38,92,88,33,0,8,0,0,14,0,0,0,0
G08000100079001,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 1, Census Tract 79, Adams County, Colorado",1961,938,66,113,61,9,17,19,0,69,112,111,77,129,23,35,10,6,36,0,9,0,0,36,0,1023,76,112,35,23,4,27,20,125,132,85,64,21,120,26,48,10,36,10,13,28,8,0,0
G08000100079002,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 2, Census Tract 79, Adams County, Colorado",699,412,28,10,10,0,0,0,0,0,0,83,88,116,51,8,18,0,0,0,0,0,0,0,0,287,50,21,14,0,0,0,0,18,28,47,15,10,13,30,17,15,0,0,0,0,9,0,0
G08000100079003,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 3, Census Tract 79, Adams County, Colorado",920,551,29,32,77,35,0,0,9,54,45,38,22,32,20,64,28,23,17,16,0,0,0,0,10,369,21,70,21,7,0,11,0,14,49,32,30,6,46,6,17,6,5,0,13,6,9,0,0
G08000100079004,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 4, Census Tract 79, Adams County, Colorado",2051,966,81,89,107,52,16,2,0,115,44,71,90,75,116,46,52,0,0,0,0,0,0,10,0,1085,137,87,156,61,15,43,33,59,46,59,67,161,38,22,56,0,23,0,0,0,0,22,0
G08000100080001,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 1, Census Tract 80, Adams County, Colorado",591,293,0,11,0,0,82,0,0,8,15,23,11,8,37,0,58,6,6,0,0,28,0,0,0,298,0,8,20,0,86,0,0,0,22,0,0,46,44,12,47,0,6,0,0,7,0,0,0
G08000100080002,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 2, Census Tract 80, Adams County, Colorado",1126,494,13,8,8,53,11,5,0,14,37,33,54,14,31,81,19,9,59,14,10,8,0,13,0,632,143,64,36,48,0,0,6,32,60,15,8,53,37,81,0,1,0,0,0,39,0,1,8
G08000100080003,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 3, Census Tract 80, Adams County, Colorado",1038,450,46,51,59,31,0,0,4,16,50,26,45,0,20,27,22,19,0,26,8,0,0,0,0,588,105,63,76,0,0,22,0,49,67,30,49,11,44,10,16,0,0,0,16,21,0,9,0
G08000100080004,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 4, Census Tract 80, Adams County, Colorado",883,538,53,65,15,47,0,0,15,0,43,15,56,0,21,3,0,99,44,0,21,41,0,0,0,345,75,0,13,41,26,0,0,0,44,4,29,10,2,3,14,26,0,36,0,14,0,0,8
G08000100080005,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 5, Census Tract 80, Adams County, Colorado",1296,701,62,108,45,55,53,4,0,5,40,12,87,40,76,59,13,0,17,0,0,0,14,4,7,595,24,77,44,29,0,22,0,38,137,42,9,18,62,30,13,18,0,24,0,8,0,0,0
G08000100080006,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 6, Census Tract 80, Adams County, Colorado",1289,663,72,83,35,0,0,0,1,95,65,19,55,32,31,83,24,0,5,11,0,0,52,0,0,626,10,60,105,79,0,0,11,8,24,52,62,13,58,20,54,0,14,13,0,11,20,12,0
G08000100081001,2012-2016,Colorado,8,Adams County,1,8100,"Block Group 1, Census Tract 81, Adams County, Colorado",1343,590,7,0,14,0,13,10,0,59,140,99,12,31,16,23,13,4,0,14,18,31,18,12,56,753,17,19,0,6,0,19,0,174,234,56,28,28,16,7,37,12,0,0,4,52,12,4,28
G08000100082001,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 1, Census Tract 82, Adams County, Colorado",2428,1144,58,150,77,48,32,60,0,57,124,83,35,46,103,43,65,52,12,11,18,35,25,0,10,1284,146,156,117,39,49,14,28,120,60,103,27,82,77,79,54,12,11,8,18,6,32,36,10
G08000100082002,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 2, Census Tract 82, Adams County, Colorado",2091,947,20,137,59,15,48,6,11,0,72,117,47,60,69,68,33,40,8,12,26,13,40,25,21,1144,107,69,104,90,14,0,21,0,68,128,71,19,47,76,91,23,21,0,47,23,47,31,47
G08000100082003,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 3, Census Tract 82, Adams County, Colorado",1010,543,19,65,0,3,8,0,0,66,61,118,27,78,16,24,9,0,0,0,5,9,12,23,0,467,31,11,21,17,37,0,0,28,86,32,32,20,31,13,0,19,23,0,0,19,31,0,16
G08000100083081,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 1, Census Tract 83.08, Adams County, Colorado",1117,513,12,56,52,23,52,10,19,0,0,0,49,33,20,31,53,16,16,13,8,21,15,8,6,604,71,8,47,34,18,0,22,32,0,58,23,14,59,66,33,7,18,6,26,34,17,11,0
G08000100083082,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 2, Census Tract 83.08, Adams County, Colorado",1739,923,48,0,194,26,21,0,0,36,150,67,54,75,57,61,75,0,12,0,26,21,0,0,0,816,36,76,119,12,13,0,0,11,54,114,23,40,45,83,88,31,10,7,33,14,0,7,0
G08000100083083,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 3, Census Tract 83.08, Adams County, Colorado",2590,1258,167,153,59,74,16,23,0,129,47,71,150,11,118,92,31,0,37,0,7,43,10,12,8,1332,127,151,114,46,64,19,49,27,110,77,137,66,89,64,23,7,7,32,60,14,12,8,29
G08000100083091,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 1, Census Tract 83.09, Adams County, Colorado",154,56,0,0,15,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,98,17,16,0,15,15,0,0,0,0,0,15,0,15,0,0,0,0,5,0,0,0,0,0
G08000100083092,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 2, Census Tract 83.09, Adams County, Colorado",1925,1033,136,147,57,38,42,0,41,28,21,70,86,128,70,66,11,45,0,0,5,28,14,0,0,892,60,114,72,41,43,0,6,0,98,22,117,92,42,33,27,10,21,4,32,16,28,10,4
G08000100083093,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 3, Census Tract 83.09, Adams County, Colorado",1724,907,83,92,110,44,50,49,0,83,33,32,25,132,13,70,71,5,5,0,5,0,0,5,0,817,81,83,66,48,42,0,0,55,27,83,109,34,56,78,15,0,18,5,13,4,0,0,0
G08000100083531,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 1, Census Tract 83.53, Adams County, Colorado",59,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,0
G08000100083532,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 2, Census Tract 83.53, Adams County, Colorado",2563,1108,91,231,59,137,8,23,8,0,93,29,45,42,60,98,91,14,14,0,38,27,0,0,0,1455,176,82,171,15,15,7,0,102,84,60,152,88,155,134,64,14,23,46,0,11,14,13,29
G08000100083533,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 3, Census Tract 83.53, Adams County, Colorado",1023,590,0,41,33,6,21,0,17,8,0,125,70,122,31,32,44,0,19,0,0,7,0,0,14,433,28,51,0,0,15,0,0,53,0,54,19,39,53,0,36,0,20,0,0,30,21,14,0
G08000100083534,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 4, Census Tract 83.53, Adams County, Colorado",2052,1069,73,84,55,81,8,15,14,58,153,86,0,114,73,106,50,14,41,0,0,0,15,29,0,983,33,92,120,40,8,48,0,84,97,88,72,53,83,41,70,0,17,37,0,0,0,0,0
G08000100083535,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 5, Census Tract 83.53, Adams County, Colorado",889,399,11,0,23,0,0,14,14,13,79,0,14,46,18,80,23,28,22,0,0,14,0,0,0,490,0,0,24,23,0,11,0,60,22,61,45,45,56,18,55,18,0,0,15,0,0,15,22
G08000100084011,2012-2016,Colorado,8,Adams County,1,8401,"Block Group 1, Census Tract 84.01, Adams County, Colorado",2529,1135,22,124,86,21,7,10,9,22,124,100,51,102,94,126,42,19,41,42,34,42,8,9,0,1394,64,168,135,61,37,25,10,24,107,31,83,127,89,141,74,48,36,25,38,44,18,0,9
