blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""080010085401""","""Denver-Aurora-Lakewood, CO""",1,6977,2377,3236.12,57,68,68,34,42,41,24,26,27,11.54,8.48,2.12,2,2,24773,21823,24443,0,0,0,15616,13594,14666,12125,10519,11223,3491,3074,3443,0,0,0,0,0,0,2,1.6,3.03,0.73,11302,93,9001,88,18,70,1065,1839,1841,1770,97,3
"""080010083531""","""Denver-Aurora-Lakewood, CO""",1,25,25,19176.97,,,,,,,21,23,24,,,1.85,2,2,22433,19835,22162,2,2,3,13759,11969,12896,10548,9136,9719,3161,2794,3122,49,38,55,42,32,47,6,2.3,0.28,0,4532,20,6958,87,113,6,2515,,,,52,48
"""080019887001""","""Denver-Aurora-Lakewood, CO""",1,0,0,16720.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,0,0,,,,,,,2497,,,,,
"""080050071012""","""Denver-Aurora-Lakewood, CO""",1,1248,450,4082.85,46,54,54,21,26,26,25,27,28,11.07,1.22,2.21,2,2,26192,23505,25893,0,0,0,16328,14404,15335,12637,11093,11688,3691,3311,3648,0,0,0,0,0,0,1.9,0.2,1.2,0.11,1495,87,1513,83,68,19,2127,1154,1226,876,79,21
"""080130137024""","""Boulder, CO""",1,769,418,4963.45,51,60,65,28,35,37,23,25,29,10.28,0.87,2.22,2,2,25948,23244,26207,0,0,0,16336,14427,15502,12679,11153,11810,3657,3274,3692,0,0,0,0,0,0,0.9,1.6,0.52,0.08,3429,100,4324,85,106,15,2746,1641,1744,1178,82,18
"""080130132011""","""Boulder, CO""",1,1572,639,14467.04,55,65,71,32,40,42,23,25,29,10.06,0.44,2.27,2,2,24950,22340,25217,0,0,0,16453,14439,15658,12937,11292,12106,3516,3147,3552,0,0,0,0,0,0,0.7,0.5,0.4,0.04,4448,99,4175,86,119,7,3026,1886,1975,1385,85,15
"""080130606001""","""Boulder, CO""",1,821,357,8641.7,49,57,63,27,34,36,21,23,27,9.7,0.4,2.07,2,2,23284,20914,23508,0,0,0,15091,13109,14375,11810,10163,11064,3281,2946,3312,0,0,0,0,0,0,2.6,1.9,2.66,0.04,8407,73,11680,89,92,9,2275,1622,1611,1657,76,24
"""081230021033""","""Greeley, CO""",1,2848,1095,10215.76,62,74,68,35,43,39,28,30,29,11.3,1.21,2.26,2,2,26861,24011,25891,0,0,0,16711,14755,15580,12926,11373,11933,3785,3383,3647,0,0,0,0,0,0,2.2,0,2.25,0.11,4399,82,5880,89,66,16,2184,1743,1894,1168,79,21
"""080410038021""","""Colorado Springs, CO""",1,0,0,10052.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,0.06,0,,,,,,21,1950,,,,,
"""080590120332""","""Denver-Aurora-Lakewood, CO""",1,879,372,1927.73,62,74,74,37,46,45,25,27,29,10.61,2.05,2.22,2,2,26250,23367,25942,0,0,0,16345,14353,15374,12646,11061,11720,3699,3292,3654,0,0,0,0,0,0,0.5,2.8,0.23,0.19,5341,100,5565,85,84,24,2578,2027,2079,1208,94,6
