GISJOIN,YEAR,STATE,STATEA,COUNTY,TRACTA,BLKGRPA,NAME_E,AF2ME001,AF2ME002,AF2ME003,AF2ME004,AF2ME005,AF2ME006,AF2ME007,AF2ME008,AF2ME009,AF2ME010,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,NAME_M,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021
G08000100078011,2012-2016,Colorado,8,Adams County,7801,1,"Block Group 1, Census Tract 78.01, Adams County, Colorado",1894,1006,250,0,44,0,551,43,0,43,1894,586,249,250,0,44,0,0,43,0,43,1308,757,0,0,0,0,551,0,0,0,"Block Group 1, Census Tract 78.01, Adams County, Colorado",41,11,41,437,356,11,11,11,11,364,11,11,11
G08000100078012,2012-2016,Colorado,8,Adams County,7801,2,"Block Group 2, Census Tract 78.01, Adams County, Colorado",2480,967,287,15,790,0,368,53,0,53,2480,1482,307,287,4,790,0,41,53,0,53,998,660,0,11,0,0,327,0,0,0,"Block Group 2, Census Tract 78.01, Adams County, Colorado",52,11,52,455,304,11,16,11,11,285,11,11,11
G08000100078021,2012-2016,Colorado,8,Adams County,7802,1,"Block Group 1, Census Tract 78.02, Adams County, Colorado",1601,684,589,46,43,0,131,108,81,27,1601,855,177,589,36,43,0,0,10,0,10,746,507,0,10,0,0,131,98,81,17,"Block Group 1, Census Tract 78.02, Adams County, Colorado",15,11,15,311,310,11,17,11,11,108,102,83,23
G08000100078022,2012-2016,Colorado,8,Adams County,7802,2,"Block Group 2, Census Tract 78.02, Adams County, Colorado",1239,607,232,8,72,0,308,12,0,12,1239,451,148,217,7,72,0,0,7,0,7,788,459,15,1,0,0,308,5,0,5,"Block Group 2, Census Tract 78.02, Adams County, Colorado",14,11,14,301,242,23,2,11,11,207,10,11,10
G08000100078023,2012-2016,Colorado,8,Adams County,7802,3,"Block Group 3, Census Tract 78.02, Adams County, Colorado",1656,721,98,0,60,0,659,118,118,0,1656,404,100,98,0,60,0,28,118,118,0,1252,621,0,0,0,0,631,0,0,0,"Block Group 3, Census Tract 78.02, Adams County, Colorado",127,127,11,375,345,11,11,11,11,259,11,11,11
G08000100079001,2012-2016,Colorado,8,Adams County,7900,1,"Block Group 1, Census Tract 79, Adams County, Colorado",1961,891,232,72,20,0,389,357,82,275,1961,901,421,232,62,20,0,15,151,0,151,1060,470,0,10,0,0,374,206,82,124,"Block Group 1, Census Tract 79, Adams County, Colorado",86,11,86,346,271,11,17,11,11,209,210,83,137
G08000100079002,2012-2016,Colorado,8,Adams County,7900,2,"Block Group 2, Census Tract 79, Adams County, Colorado",699,382,117,50,12,0,114,24,0,24,699,311,128,117,0,12,0,30,24,0,24,388,254,0,50,0,0,84,0,0,0,"Block Group 2, Census Tract 79, Adams County, Colorado",26,11,26,169,157,11,77,11,11,101,11,11,11
G08000100079003,2012-2016,Colorado,8,Adams County,7900,3,"Block Group 3, Census Tract 79, Adams County, Colorado",920,443,77,37,66,0,254,43,43,0,920,361,218,77,0,66,0,0,0,0,0,559,225,0,37,0,0,254,43,43,0,"Block Group 3, Census Tract 79, Adams County, Colorado",11,11,11,228,215,11,58,11,11,190,51,51,11
G08000100079004,2012-2016,Colorado,8,Adams County,7900,4,"Block Group 4, Census Tract 79, Adams County, Colorado",2051,849,445,27,102,0,591,37,10,27,2051,773,192,433,27,102,0,0,19,0,19,1278,657,12,0,0,0,591,18,10,8,"Block Group 4, Census Tract 79, Adams County, Colorado",26,11,26,372,329,20,11,11,11,280,19,15,12
G08000100080001,2012-2016,Colorado,8,Adams County,8000,1,"Block Group 1, Census Tract 80, Adams County, Colorado",591,173,343,0,0,0,44,31,20,11,591,462,108,343,0,0,0,0,11,0,11,129,65,0,0,0,0,44,20,20,0,"Block Group 1, Census Tract 80, Adams County, Colorado",20,11,20,138,69,11,11,11,11,49,33,33,11
