GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLKGRPA,NAME_E,AF49E001
G08000100078011,2012-2016,Colorado,8,Adams County,1,7801,1,"Block Group 1, Census Tract 78.01, Adams County, Colorado",24141
G08000100078012,2012-2016,Colorado,8,Adams County,1,7801,2,"Block Group 2, Census Tract 78.01, Adams County, Colorado",25417
G08000100078021,2012-2016,Colorado,8,Adams County,1,7802,1,"Block Group 1, Census Tract 78.02, Adams County, Colorado",30321
G08000100078022,2012-2016,Colorado,8,Adams County,1,7802,2,"Block Group 2, Census Tract 78.02, Adams County, Colorado",31979
G08000100078023,2012-2016,Colorado,8,Adams County,1,7802,3,"Block Group 3, Census Tract 78.02, Adams County, Colorado",25755
G08000100079001,2012-2016,Colorado,8,Adams County,1,7900,1,"Block Group 1, Census Tract 79, Adams County, Colorado",46522
G08000100079002,2012-2016,Colorado,8,Adams County,1,7900,2,"Block Group 2, Census Tract 79, Adams County, Colorado",28403
G08000100079003,2012-2016,Colorado,8,Adams County,1,7900,3,"Block Group 3, Census Tract 79, Adams County, Colorado",39563
G08000100079004,2012-2016,Colorado,8,Adams County,1,7900,4,"Block Group 4, Census Tract 79, Adams County, Colorado",29063
G08000100080001,2012-2016,Colorado,8,Adams County,1,8000,1,"Block Group 1, Census Tract 80, Adams County, Colorado",55662
G08000100080002,2012-2016,Colorado,8,Adams County,1,8000,2,"Block Group 2, Census Tract 80, Adams County, Colorado",41776
G08000100080003,2012-2016,Colorado,8,Adams County,1,8000,3,"Block Group 3, Census Tract 80, Adams County, Colorado",47738
G08000100080004,2012-2016,Colorado,8,Adams County,1,8000,4,"Block Group 4, Census Tract 80, Adams County, Colorado",54356
G08000100080005,2012-2016,Colorado,8,Adams County,1,8000,5,"Block Group 5, Census Tract 80, Adams County, Colorado",52500
G08000100080006,2012-2016,Colorado,8,Adams County,1,8000,6,"Block Group 6, Census Tract 80, Adams County, Colorado",63008
G08000100081001,2012-2016,Colorado,8,Adams County,1,8100,1,"Block Group 1, Census Tract 81, Adams County, Colorado",35625
G08000100082001,2012-2016,Colorado,8,Adams County,1,8200,1,"Block Group 1, Census Tract 82, Adams County, Colorado",65046
G08000100082002,2012-2016,Colorado,8,Adams County,1,8200,2,"Block Group 2, Census Tract 82, Adams County, Colorado",47092
G08000100082003,2012-2016,Colorado,8,Adams County,1,8200,3,"Block Group 3, Census Tract 82, Adams County, Colorado",48750
G08000100083081,2012-2016,Colorado,8,Adams County,1,8308,1,"Block Group 1, Census Tract 83.08, Adams County, Colorado",59688
G08000100083082,2012-2016,Colorado,8,Adams County,1,8308,2,"Block Group 2, Census Tract 83.08, Adams County, Colorado",40931
G08000100083083,2012-2016,Colorado,8,Adams County,1,8308,3,"Block Group 3, Census Tract 83.08, Adams County, Colorado",23211
G08000100083091,2012-2016,Colorado,8,Adams County,1,8309,1,"Block Group 1, Census Tract 83.09, Adams County, Colorado",
G08000100083092,2012-2016,Colorado,8,Adams County,1,8309,2,"Block Group 2, Census Tract 83.09, Adams County, Colorado",37348
G08000100083093,2012-2016,Colorado,8,Adams County,1,8309,3,"Block Group 3, Census Tract 83.09, Adams County, Colorado",50618
G08000100083531,2012-2016,Colorado,8,Adams County,1,8353,1,"Block Group 1, Census Tract 83.53, Adams County, Colorado",
G08000100083532,2012-2016,Colorado,8,Adams County,1,8353,2,"Block Group 2, Census Tract 83.53, Adams County, Colorado",71987
G08000100083533,2012-2016,Colorado,8,Adams County,1,8353,3,"Block Group 3, Census Tract 83.53, Adams County, Colorado",61406
G08000100083534,2012-2016,Colorado,8,Adams County,1,8353,4,"Block Group 4, Census Tract 83.53, Adams County, Colorado",61087
G08000100083535,2012-2016,Colorado,8,Adams County,1,8353,5,"Block Group 5, Census Tract 83.53, Adams County, Colorado",51750
G08000100084011,2012-2016,Colorado,8,Adams County,1,8401,1,"Block Group 1, Census Tract 84.01, Adams County, Colorado",82708
G08000100084012,2012-2016,Colorado,8,Adams County,1,8401,2,"Block Group 2, Census Tract 84.01, Adams County, Colorado",49844
G08000100084021,2012-2016,Colorado,8,Adams County,1,8402,1,"Block Group 1, Census Tract 84.02, Adams County, Colorado",80284
G08000100084022,2012-2016,Colorado,8,Adams County,1,8402,2,"Block Group 2, Census Tract 84.02, Adams County, Colorado",65357
G08000100085051,2012-2016,Colorado,8,Adams County,1,8505,1,"Block Group 1, Census Tract 85.05, Adams County, Colorado",62656
G08000100085052,2012-2016,Colorado,8,Adams County,1,8505,2,"Block Group 2, Census Tract 85.05, Adams County, Colorado",62528
G08000100085053,2012-2016,Colorado,8,Adams County,1,8505,3,"Block Group 3, Census Tract 85.05, Adams County, Colorado",56121
G08000100085054,2012-2016,Colorado,8,Adams County,1,8505,4,"Block Group 4, Census Tract 85.05, Adams County, Colorado",62368
G08000100085055,2012-2016,Colorado,8,Adams County,1,8505,5,"Block Group 5, Census Tract 85.05, Adams County, Colorado",75750
G08000100085056,2012-2016,Colorado,8,Adams County,1,8505,6,"Block Group 6, Census Tract 85.05, Adams County, Colorado",93556
G08000100085061,2012-2016,Colorado,8,Adams County,1,8506,1,"Block Group 1, Census Tract 85.06, Adams County, Colorado",36500
